config,concurrency_or_tokens,metric,value,unit,notes
v17ctl-milo-2,12,decode_agg,856.1722,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
v17ctl-milo-2,16,decode_agg,949.6593,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v17ctl-milo-2.json"
v18A-k1,1,decode_agg,176.2997,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k1,2,decode_agg,283.7412,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k1,4,decode_agg,423.6055,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k1,8,decode_agg,680.9374,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k1,12,decode_agg,841.3158,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k1,16,decode_agg,998.2304,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k1.json"
v18A-k2,1,decode_agg,177.0564,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18A-k2,2,decode_agg,283.5584,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18A-k2,4,decode_agg,424.7339,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18A-k2,8,decode_agg,681.7960,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18A-k2,12,decode_agg,851.8086,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18A-k2,16,decode_agg,994.4761,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18A-k2.json"
v18B-k1,1,decode_agg,117.3950,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k1,2,decode_agg,205.3720,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k1,4,decode_agg,282.7799,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k1,8,decode_agg,587.0135,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k1,12,decode_agg,441.9967,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k1,16,decode_agg,732.6930,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k1.json"
v18B-k2,1,decode_agg,98.6018,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18B-k2,2,decode_agg,165.8454,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18B-k2,4,decode_agg,284.9206,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18B-k2,8,decode_agg,585.3394,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18B-k2,12,decode_agg,463.1606,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18B-k2,16,decode_agg,746.8127,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18B-k2.json"
v18C-milo-1,1,decode_agg,171.7770,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-1,2,decode_agg,262.7927,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-1,4,decode_agg,412.4918,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-1,8,decode_agg,653.7813,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-1,12,decode_agg,803.8740,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-1,16,decode_agg,747.5387,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-1.json"
v18C-milo-2,1,decode_agg,172.0603,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18C-milo-2,2,decode_agg,272.1000,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18C-milo-2,4,decode_agg,414.0509,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18C-milo-2,8,decode_agg,656.8728,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18C-milo-2,12,decode_agg,814.2584,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18C-milo-2,16,decode_agg,944.6312,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v18; raw v18/knee-v18C-milo-2.json"
v18 (A/B mean),16,warm_agent_turn_ttft_p95,1.859,s,iWyzer fund harness mix 16 420 s; v18A 1.820 / v18B 1.897; v17ctl 1.898; raw v18/run-v18A.log run-v18B.log
v18 (A/B mean),24,warm_agent_turn_ttft_p50,0.553,s,mix 24 420 s; v18A 0.545 / v18B 0.561; v17ctl 0.775; v15ctl3 27.34; raw v18/run-*.log
v18 (A/B mean),16,cold_120k_ttft_p95_under_16_streams,9.157,s,coldload 5; v18A 9.158 / v18B 9.155; v17ctl 8.867; v15ctl3 19.07; raw v18/run-*.log
v18 (A/B mean),16,chat_ttft_p95,13.019,s,mix 16; v18A 14.766 / v18B 11.272; v17ctl 20.054; v15ctl3 17.21
v18 (A/B mean),16,prose_decode_p10,15.75,tok/s,mix 16; v18A 15.6 / v18B 15.9; v17ctl 15.3; v15ctl3 16.5
v18,8,prose_decode_p10,28.0,tok/s,"mix 8 420 s run on the promoted lane 2026-09-18 (iw-v18C8, in the fund-post bundle); mean 40.1"
v18 (A/B mean),24,prose_decode_p10,8.45,tok/s,mix 24; v18A 8.6 / v18B 8.3; v17ctl 8.8; v15ctl3 13.3 (v15 queued at 16 slots — fewer seats decoding)
v18,16,tools_correct,64,of 64,tools 16 x 4 turns x 12 positions; both windows 64/64; v17ctl 64/64; v15ctl3 64/64
v18,0,kv_cache_tokens,2502950,tokens,"GPU KV cache size at bind; graphs 1.30 + 1.10 GiB; v17 1,786,288 (graphs 2.33 + 1.78); v15 2,262,000 approx"
v18,103606,cold_prefill_idle,22657,tok/s,"cold_prefill_probe.py idle, N=2, 4.58 s TTFT; v17 23263; v15 22000"
v17 (A/B mean),24,warm_agent_turn_ttft_p50,1.328,s,v17A 1.870 / v17B 0.785 vs v15ctl2 27.410; raw v17/run-*.log
v16 (A/B mean),24,warm_agent_turn_ttft_p50,3.616,s,vs v15ctl 27.093; raw v16/run-*.log
v16,103602,cold_prefill_idle,11580,tok/s,long-prefill-token-threshold 2048 cost: -47% vs v15 22000
